workshop_type,slug_auto,frequency_statistical_gui,frequency_programming_language,frequency_databases,frequency_version_control,frequency_command_line,current_satisfaction_level
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,Less than once per year,Weekly,Less than once per year,Never,Monthly,Satisfied
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
swc,2018-09-21-sc,Never,Daily,Less than once per year,Monthly,Weekly,Satisfied
swc,2017-02-16-rc-days,Never,Daily,Less than once per year,Never,Monthly,Neutral
dc,2018-09-13-edinburgh,Never,Never,Never,Never,Never,Not sure
swc,2018-09-22-UTA,Several times per year,Monthly,Less than once per year,Never,Less than once per year,Unsatisfied
swc,2018-09-22-emory,Monthly,Never,Never,Never,Never,Neutral
dc,2018-09-24-cambridge,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Several times per year,Unsatisfied
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA
swc,[workshop,Monthly,Several times per year,Never,Never,Less than once per year,Neutral
swc,2018-09-22-emory,Several times per year,Several times per year,Less than once per year,Never,Less than once per year,Not applicable
dc,2018-09-19-nwu-library-week,Never,Never,Never,Never,Never,Unsatisfied
swc,2018-09-24-koper,Never,Less than once per year,Never,Monthly,Never,Neutral
swc,2017-02-16-rc-days,NA,NA,NA,NA,NA,NA
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,Never,Daily,Monthly,Weekly,Daily,Unsatisfied
swc,2018-09-24-CERTH,NA,NA,NA,NA,NA,NA
swc,2018-10-05-UCSF-Python,Weekly,Weekly,Weekly,Monthly,Weekly,Very unsatisfied
dc,2018-09-13-edinburgh,Never,Daily,Daily,Never,Never,Satisfied
swc,2018-09-24-koper,Never,Never,Never,Never,Less than once per year,Very unsatisfied
dc,2018-09-10-utoronto,Monthly,Monthly,NA,Never,Never,Neutral
dc,Swansea-2018-09-20,Weekly,Weekly,Never,Never,Never,Neutral
swc,2018-09-24-koper,Never,Monthly,Never,Never,Monthly,Very unsatisfied
dc,2018-09-12-new_england_tribes_USGS,Never,Less than once per year,Less than once per year,Never,Never,Neutral
swc,[workshop,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,Less than once per year,Never,Never,Never,Less than once per year,Very unsatisfied
swc,2018-09-22-emory,Several times per year,Several times per year,Never,Never,Several times per year,Unsatisfied
dc,2018-09-13-edinburgh,Less than once per year,Never,Never,Never,Never,Neutral
dc,2018-09-13-edinburgh,Daily,Monthly,Several times per year,Never,Never,Satisfied
swc,[workshop,NA,NA,NA,NA,NA,NA
swc,[workshop,NA,Weekly,NA,NA,Weekly,Unsatisfied
dc,2018-09-03-DC-Wollo,Monthly,Monthly,Less than once per year,Never,Never,Satisfied
swc,2018-09-24-koper,Less than once per year,Monthly,Less than once per year,Several times per year,Less than once per year,Neutral
dc,2018-09-10-jax,Less than once per year,Daily,Less than once per year,Several times per year,Weekly,Satisfied
dc,Swansea-2018-09-20,Never,Less than once per year,Never,Never,Never,Satisfied
dc,2018-09-27-ukzn,Less than once per year,Never,Never,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Weekly,Never,Weekly,Never,Never,Unsatisfied
dc,2018-10-01-UW-dc,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,Weekly,Weekly,Weekly,Weekly,Several times per year,Satisfied
dc,2018-09-27-ukzn,Several times per year,Never,Never,Never,Never,Neutral
swc,2018-09-22-emory,NA,NA,NA,NA,NA,NA
dc,2018-09-10-jax,Never,Less than once per year,Less than once per year,Never,Less than once per year,Very unsatisfied
swc,2018-09-24-python,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,Never,Weekly,Monthly,Less than once per year,Weekly,Neutral
dc,2018-09-19-nwu-library-week,Several times per year,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Unsatisfied
dc,2018-09-27-ukzn,Weekly,Never,Never,Never,Never,Neutral
dc,2018-09-12-new_england_tribes_USGS,Less than once per year,Never,Less than once per year,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Less than once per year,Never,Never,Never,Never,Unsatisfied
swc,2017-02-16-rc-days,Never,Several times per year,Less than once per year,Never,Weekly,Neutral
swc,2018-09-22-emory,Weekly,Weekly,Never,Never,Less than once per year,Unsatisfied
swc,2018-09-24-koper,Never,Several times per year,Never,Never,Monthly,Not sure
dc,2018-09-10-jax,Never,Several times per year,Several times per year,Never,Several times per year,Not applicable
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
swc,2018-10-01-UW-swc,Several times per year,Weekly,Never,Less than once per year,Several times per year,Satisfied
dc,2018-09-27-ukzn,Never,Never,Never,Never,Never,Neutral
dc,2018-09-29-tamu-kingsville,Several times per year,Weekly,Never,Never,Weekly,Neutral
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
dc,2018-09-10-utoronto,Weekly,Weekly,Several times per year,Monthly,Monthly,Satisfied
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA
dc,2018-09-12-new_england_tribes_USGS,Never,Never,Several times per year,Never,Never,Neutral
dc,2018-09-27-ukzn,Never,Never,Never,Never,Never,Not sure
dc,2018-09-13-edinburgh,Less than once per year,Never,Never,Never,Never,Very unsatisfied
dc,2018-09-27-ukzn,Less than once per year,Never,Several times per year,Never,Never,Neutral
dc,2018-09-13-edinburgh,Never,Weekly,Never,Weekly,Monthly,Neutral
swc,2018-09-22-UTA,Never,Several times per year,Never,Never,Never,Not sure
swc,2016-07-18-usq,Monthly,Less than once per year,Never,Never,Never,Satisfied
swc,2018-09-24-Imperial,Never,Monthly,Never,Never,Less than once per year,Not applicable
dc,2018-09-13-edinburgh,Several times per year,Several times per year,Less than once per year,Never,Less than once per year,Unsatisfied
swc,2018-10-01-UW-swc,Less than once per year,Daily,Several times per year,Monthly,Daily,Not sure
swc,2018-10-01-UW-dc,Never,Daily,Monthly,Weekly,Daily,Neutral
swc,2018-09-22-emory,Weekly,Weekly,Less than once per year,Less than once per year,Daily,Satisfied
dc,2018-09-13-edinburgh,Weekly,Several times per year,Never,Never,Never,Unsatisfied
swc,2018-09-22-UTA,Several times per year,Monthly,Weekly,Monthly,Monthly,Unsatisfied
swc,2018-10-08-Stonybrook-IACS-Python,Weekly,Monthly,Weekly,Several times per year,Less than once per year,Neutral
swc,2018-09-22-emory,Never,Weekly,Never,Never,Weekly,Satisfied
swc,2018-09-22-emory,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,Monthly,Never,Monthly,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Never,Several times per year,Never,Never,Never,Unsatisfied
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,Never,Monthly,Several times per year,Never,Less than once per year,Unsatisfied
dc,Swansea-2018-09-20,Never,Daily,Never,Daily,Daily,Not applicable
dc,2018-09-27-ukzn,Monthly,Never,Never,Never,Never,Neutral
dc,2018-09-10-jax,NA,NA,NA,NA,NA,NA
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,Less than once per year,NA,Less than once per year,Never,Never,Unsatisfied
swc,2017-02-16-rc-days,Never,Weekly,Less than once per year,Never,Never,Not sure
dc,Swansea-2018-09-20,Less than once per year,Never,Never,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Never,Weekly,Never,Never,Never,Not sure
dc,2018-09-10-utoronto,Daily,Several times per year,Weekly,Less than once per year,Less than once per year,Neutral
swc,2018-09-22-UTA,Several times per year,Never,Never,Never,Never,Neutral
dc,2018-09-13-edinburgh,Never,Never,Less than once per year,Never,Never,Unsatisfied
swc,2018-09-20-illinois,Daily,Less than once per year,Less than once per year,Never,Never,Neutral
swc,2018-09-24-koper,Never,Several times per year,Never,Never,Several times per year,Neutral
swc,2018-09-21-sc,Never,Weekly,Never,Never,Never,Neutral
swc,2018-09-24-koper,Less than once per year,Daily,Several times per year,Monthly,Monthly,Satisfied
swc,2018-10-01-UW-swc,Several times per year,Several times per year,Daily,Never,Never,Satisfied
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA
dc,2018-09-19-nwu-library-week,Less than once per year,Never,Less than once per year,Never,Never,Satisfied
swc,2018-09-24-CERTH,Monthly,Never,Several times per year,Never,Never,Neutral
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,Several times per year,Never,Never,Never,Never,Neutral
swc,2018-09-24-CERTH,Never,Daily,Never,Weekly,Daily,Neutral
swc,2018-09-22-UTA,Several times per year,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Neutral
dc,Swansea-2018-09-20,Never,Several times per year,Daily,Never,Several times per year,Unsatisfied
swc,2018-09-22-emory,Several times per year,Several times per year,NA,Never,Weekly,Unsatisfied
swc,2018-09-24-koper,NA,Several times per year,Several times per year,Several times per year,Daily,Not applicable
dc,2018-10-25-wsu,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,Never,Daily,Never,Never,Daily,Not sure
dc,2018-09-19-nwu-library-week,Never,Never,Never,Never,Never,Very unsatisfied
swc,2018-10-01-UW-swc,Less than once per year,Never,Never,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Never,Never,Never,Never,Never,Not applicable
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA
swc,2018-09-22-UTA,Never,Daily,Never,Never,Daily,Satisfied
swc,2018-09-22-UTA,Monthly,Several times per year,Less than once per year,Less than once per year,Less than once per year,Neutral
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA
dc,Swansea-2018-09-20,Monthly,Never,Never,Never,Never,Not sure
dc,2018-09-19-nwu-library-week,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
dc,2018-09-10-jax,Several times per year,Less than once per year,Several times per year,Never,Never,Neutral
dc,2018-09-27-ukzn,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,Weekly,Monthly,Never,Never,Several times per year,Neutral
swc,2018-10-01-UW-swc,Never,Monthly,Several times per year,Never,Less than once per year,Neutral
dc,Swansea-2018-09-20,Less than once per year,Daily,Several times per year,Weekly,Daily,Satisfied
swc,2018-09-24-CERTH,Several times per year,Several times per year,Several times per year,Never,Monthly,Neutral
swc,2018-09-24-koper,Less than once per year,Daily,Daily,Weekly,Daily,Neutral
swc,2018-09-24-koper,Less than once per year,Less than once per year,Less than once per year,Never,Less than once per year,Very unsatisfied
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA
swc,2017-02-16-rc-days,NA,NA,NA,NA,NA,NA
dc,2018-10-25-wsu,NA,NA,NA,NA,NA,NA
swc,2018-09-21-sc,Never,Daily,Never,Daily,Daily,Unsatisfied
dc,2018-09-12-new_england_tribes_USGS,Less than once per year,Never,Less than once per year,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Several times per year,Several times per year,Never,Never,Never,Unsatisfied
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-10-utoronto,Less than once per year,Less than once per year,Never,Never,Never,Satisfied
swc,2018-09-24-koper,Never,Several times per year,Never,Never,Daily,Not applicable
swc,2018-10-01-UW-swc,Daily,Several times per year,Never,Less than once per year,Weekly,Neutral
dc,2018-09-27-ukzn,Weekly,Never,Daily,Never,Never,Unsatisfied
swc,2018-09-22-emory,Never,Daily,Never,Never,Monthly,Neutral
swc,2018-11-14-mcgill,Never,Daily,Weekly,Daily,Daily,Satisfied
dc,2018-09-13-edinburgh,Monthly,Monthly,Weekly,Monthly,Weekly,Unsatisfied
dc,Swansea-2018-09-20,Less than once per year,Never,Monthly,Never,Never,Neutral
dc,2018-09-19-nwu-library-week,Less than once per year,Weekly,Less than once per year,Never,Never,Neutral
swc,2018-09-24-Imperial,Never,Daily,Less than once per year,Daily,Daily,Neutral
swc,2018-10-01-UW-swc,Never,Monthly,Less than once per year,Monthly,Daily,Neutral
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,Several times per year,Several times per year,Daily,Never,Weekly,Satisfied
dc,Swansea-2018-09-20,Less than once per year,Less than once per year,Several times per year,Never,Never,Unsatisfied
dc,Swansea-2018-09-20,Never,Daily,Never,Never,Never,Neutral
dc,2018-09-12-new_england_tribes_USGS,Never,Monthly,Daily,Monthly,Several times per year,Very unsatisfied
dc,2018-09-13-edinburgh,Monthly,Several times per year,Never,Never,Never,Unsatisfied
swc,2018-09-21-sc,Never,Daily,Weekly,Weekly,Daily,Neutral
dc,2018-09-13-edinburgh,Several times per year,Weekly,Never,Never,Monthly,Satisfied
swc,2018-10-01-UW-swc,NA,NA,NA,NA,NA,NA
dc,2018-09-19-nwu-library-week,Several times per year,Never,Weekly,Never,Never,Not applicable
dc,2018-09-29-tamu-kingsville,Less than once per year,Several times per year,Less than once per year,Several times per year,Less than once per year,Satisfied
dc,2018-09-27-ukzn,Less than once per year,Never,Never,Never,Never,Satisfied
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-12-new_england_tribes_USGS,Less than once per year,Several times per year,Daily,Never,Never,Unsatisfied
swc,2018-09-24-koper,Never,Less than once per year,Less than once per year,Less than once per year,Several times per year,Neutral
dc,2018-09-27-ukzn,Monthly,Never,Never,Never,Never,Unsatisfied
dc,2018-09-19-nwu-library-week,Several times per year,Never,Never,Never,Never,Unsatisfied
swc,2018-09-24-Imperial,Never,Daily,Several times per year,Monthly,Several times per year,Unsatisfied
dc,2018-09-27-ukzn,Several times per year,Never,Never,Never,Never,Neutral
dc,2018-09-27-ukzn,Never,Never,Never,Never,Never,Not applicable
dc,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,Weekly,Less than once per year,NA,Never,Several times per year,Very unsatisfied
dc,2018-09-10-utoronto,NA,NA,NA,NA,NA,NA
swc,[workshop,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,Less than once per year,Never,Daily,Less than once per year,Less than once per year,Satisfied
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,Less than once per year,Weekly,Several times per year,Monthly,Daily,Very satisfied
dc,2018-09-13-edinburgh,Several times per year,Never,Never,Never,Several times per year,Not applicable
dc,2018-09-13-edinburgh,Less than once per year,Monthly,Several times per year,Several times per year,Several times per year,Neutral
dc,2018-09-19-nwu-library-week,Less than once per year,Never,Daily,Never,Less than once per year,Not applicable
dc,2018-09-29-tamu-kingsville,Less than once per year,Less than once per year,Monthly,Never,Never,Neutral
dc,2018-09-27-ukzn,Several times per year,Never,Never,Never,Never,Neutral
swc,2018-09-24-CERTH,NA,NA,NA,NA,NA,NA
dc,2018-09-12-new_england_tribes_USGS,Weekly,Weekly,Weekly,Less than once per year,Less than once per year,Neutral
dc,2018-09-27-ukzn,Several times per year,Less than once per year,Never,Never,Never,Not applicable
dc,2018-09-13-edinburgh,Never,Less than once per year,Less than once per year,Never,Several times per year,Unsatisfied
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA
dc,2018-09-12-new_england_tribes_USGS,Weekly,Less than once per year,Several times per year,Never,Never,Satisfied
swc,2017-02-16-rc-days,Less than once per year,Weekly,Less than once per year,Weekly,Several times per year,Neutral
dc,2018-09-10-jax,NA,NA,NA,NA,NA,Neutral
swc,2018-09-24-koper,Never,Weekly,Never,Never,Never,Neutral
dc,2018-09-13-edinburgh,Less than once per year,Several times per year,Less than once per year,Never,Never,Not sure
dc,2018-09-13-edinburgh,Never,Weekly,Never,Several times per year,Weekly,Neutral
dc,2018-09-13-edinburgh,Less than once per year,Never,Never,Never,Never,Unsatisfied
swc,2018-09-22-UTA,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Unsatisfied
swc,2018-10-05-UCSF-Python,Less than once per year,Several times per year,Never,Never,Never,Not sure
dc,Swansea-2018-09-20,Less than once per year,Never,Less than once per year,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Never,Less than once per year,NA,Several times per year,Weekly,Unsatisfied
